hex_id,total_population
89411c80dcbffff,391.0
89411c80c37ffff,391.0
89411c80bcfffff,391.0
89411c80b13ffff,391.0
89411c80807ffff,391.0
89411c80b73ffff,391.0
89411c80b87ffff,391.0
89411c80bd3ffff,391.0
89411c80d53ffff,391.0
89411c81d3bffff,391.0
89411c80b47ffff,391.0
89411c8084fffff,391.0
89411c80883ffff,391.0
89411c808c7ffff,391.0
89411c80d5bffff,391.0
89411c80d57ffff,391.0
89411c8287bffff,391.0
89411c80c5bffff,391.0
89411c80893ffff,391.0
89411c8e4bbffff,391.0
89411c80d4bffff,391.0
89411c87287ffff,391.0
89411c80133ffff,391.0
89411c81d37ffff,391.0
89411c80a0bffff,391.0
89411c80c43ffff,391.0
89411c80c53ffff,391.0
89411c80ccfffff,391.0
89411c80c9bffff,391.0
89411c808cbffff,391.0
89411c80aafffff,391.0
89411c80a87ffff,391.0
89411c80eb3ffff,391.0
89411c80a9bffff,391.0
89411c80a67ffff,391.0
89411c8089bffff,391.0
89411c80c3bffff,391.0
89411c80e07ffff,391.0
89411c80ab7ffff,391.0
89411c801afffff,391.0
89411c818b7ffff,391.0
89411c852cfffff,391.0
89411c8e587ffff,391.0
89411c8529bffff,391.0
89411c8e5abffff,391.0
89411c85603ffff,391.0
89411c8744fffff,391.0
89411c8744bffff,391.0
89411c82bcfffff,391.0
89411c80aa3ffff,391.0
89411c8e4a3ffff,391.0
89411c8e4afffff,391.0
89411c80e2bffff,391.0
89411c80a77ffff,391.0
89411c8e493ffff,391.0
89411c8014bffff,391.0
89411c80e9bffff,391.0
89411c80847ffff,391.0
89411c80aa7ffff,391.0
89411c8e487ffff,391.0
89411c8e503ffff,391.0
89411c8560fffff,391.0
89411c87677ffff,391.0
89411c80c87ffff,391.0
89411c80c2fffff,391.0
89411c80a6fffff,391.0
89411c80c6fffff,391.0
89411c808cfffff,391.0
89411c80adbffff,391.0
89411c801a7ffff,391.0
89411c80a1bffff,391.0
89411c80ecbffff,391.0
89411c80e0bffff,391.0
89411c80107ffff,391.0
89411c82a6bffff,391.0
89411c8e51bffff,391.0
89411c87293ffff,391.0
89411c85617ffff,391.0
89411c85643ffff,391.0
89411c80cbbffff,391.0
89411c8086bffff,391.0
89411c80b53ffff,391.0
89411c808b3ffff,391.0
89411c80b03ffff,391.0
89411c80897ffff,391.0
89411c80d0bffff,391.0
89411c8724bffff,391.0
89411c80b0bffff,391.0
89411c80b77ffff,391.0
89411c82b6bffff,391.0
89411c8e513ffff,391.0
89411c80b0fffff,391.0
89411c8e58fffff,391.0
89411c8766fffff,391.0
89411c856cbffff,391.0
89411c80b27ffff,391.0
89411c876abffff,391.0
89411c85657ffff,391.0
89411c8762bffff,391.0
89411c8528bffff,391.0
89411c80bc7ffff,391.0
89411c80bdbffff,391.0
89411c8082bffff,391.0
89411c80b8bffff,391.0
89411c80b43ffff,391.0
89411c80a27ffff,391.0
89411c80863ffff,391.0
89411c80c67ffff,391.0
89411c80ec3ffff,391.0
89411c856dbffff,391.0
89411c80e13ffff,391.0
89411c8013bffff,391.0
89411c80e1bffff,391.0
89411c80e63ffff,391.0
89411c8568fffff,391.0
89411c8727bffff,391.0
89411c8564fffff,391.0
89411c8e5a3ffff,391.0
89411c80823ffff,391.0
89411c80b3bffff,391.0
89411c8e4a7ffff,391.0
89411c80b83ffff,391.0
89411c8e5dbffff,391.0
89411c8e593ffff,391.0
89411c8e5b7ffff,391.0
89411c803afffff,391.0
89411c87667ffff,391.0
89411c856c7ffff,391.0
89411c8e5b3ffff,391.0
89411c809a7ffff,391.0
89411c8565bffff,391.0
89411c852c7ffff,391.0
89411c852d7ffff,391.0
89411c87203ffff,391.0
89411c8094bffff,391.0
89411c80e57ffff,391.0
89411c81d93ffff,391.0
89411c81db7ffff,391.0
89411c80b57ffff,391.0
89411c8083bffff,391.0
89411c8e427ffff,391.0
89411c8e583ffff,391.0
